Connecting to console on VM mirageIperfServer. Press Ctrl + ']' to quit.
Server is using interface 0 with IP address 192.168.8.101
Setting up iperf server listening at port 5001 
Done setting up server 
ARP: updating 192.168.8.102 -> a6:38:2d:35:dd:1b
ARP responding to: who-has 192.168.8.101?
Iperf server: Received connection from 192.168.8.102:18048.
Iperf server: t = 71.543270, rate = 1118 KBits/s, totbytes = 10000000, live_words = 492697
Time=0.001092, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466563141 0 262140 262140 4380 23360 0 452893864] 
Time=0.001097, Delay=0.000000, Op=RX, Kind=SEG, details=[466563141 452893865] 
Time=0.001098, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466563141 0 262140 262140 4380 23360 0 452893864] 
Time=0.001098, Delay=0.000000, Op=RX, Kind=SEG, details=[466564600 452893865] 
Time=0.001099, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466563141 0 262140 262140 4380 23360 0 452893864] 
Time=0.001099, Delay=0.000000, Op=RX, Kind=SEG, details=[466566059 452893865] 
Time=0.001101, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466567518 0 262140 262140 4380 23360 0 452893864] 
Time=0.001105, Delay=0.000000, Op=RX, Kind=SEG, details=[466567518 452893865] 
Time=0.001105, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466567518 0 262140 262140 4380 23360 0 452893864] 
Time=0.001106, Delay=0.000017, Op=TX, Kind=SEG, details=[452893865 466567518] 
Time=0.001112, Delay=0.000000, Op=RX, Kind=SEG, details=[466568977 452893865] 
Time=0.001113, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466568977 0 262140 262140 4380 23360 0 452893864] 
Time=0.001113, Delay=0.000000, Op=RX, Kind=SEG, details=[466570436 452893865] 
Time=0.001114, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466568977 0 262140 262140 4380 23360 0 452893864] 
Time=0.001114, Delay=0.000008, Op=TX, Kind=SEG, details=[452893865 466568977] 
Time=0.001120, Delay=0.000000, Op=RX, Kind=SEG, details=[466571895 452893865] 
Time=0.001121, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466571895 0 262140 262140 4380 23360 0 452893864] 
Time=0.001127, Delay=0.000000, Op=RX, Kind=SEG, details=[466573354 452893865] 
Time=0.001128, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466573354 0 262140 262140 4380 23360 0 452893864] 
Time=0.001128, Delay=0.000000, Op=RX, Kind=SEG, details=[466574813 452893865] 
Time=0.001129, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466573354 0 262140 262140 4380 23360 0 452893864] 
Time=0.001129, Delay=0.000013, Op=TX, Kind=SEG, details=[452893865 466573354] 
Time=0.001142, Delay=0.000000, Op=RX, Kind=SEG, details=[466576272 452893865] 
Time=0.001143, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466576272 0 262140 262140 4380 23360 0 452893864] 
Time=0.001143, Delay=0.000000, Op=RX, Kind=SEG, details=[466577731 452893865] 
Time=0.001144, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466576272 0 262140 262140 4380 23360 0 452893864] 
